,effortsLeft,effortsRight,r01,r02,r12
175,"[-1,0,-1,0]","[-1,0,0,-1]",0.4166666666666667,0.08333333333333333,0.5
176,"[-1,0,-1,0]","[-1,0,1,-1]",0.6363636363636364,0.0,0.36363636363636365
177,"[-1,0,-1,0]","[-1,1,0,0]",0.09090909090909091,0.0,0.9090909090909091
178,"[-1,0,-1,0]","[0,-1,-1,-1]",0.5,0.4,0.1
179,"[-1,0,-1,0]","[0,-1,-1,0]",0.3,0.3,0.4
180,"[-1,0,-1,0]","[0,-1,0,-1]",0.45454545454545453,0.0,0.5454545454545454
181,"[-1,0,-1,0]","[0,-1,1,0]",0.25,0.08333333333333333,0.6666666666666666
182,"[-1,0,-1,0]","[0,-1,1,1]",0.0,0.09090909090909091,0.9090909090909091
183,"[-1,0,-1,0]","[0,0,-1,1]",0.1,0.9,0.0
184,"[-1,0,-1,0]","[0,0,1,1]",0.2,0.2,0.6
185,"[-1,0,-1,0]","[0,1,-1,-1]",0.2,0.7,0.1
186,"[-1,0,-1,0]","[0,1,-1,0]",0.07142857142857142,0.7142857142857143,0.21428571428571427
187,"[-1,0,-1,0]","[0,1,0,-1]",0.6,0.0,0.4
188,"[-1,0,-1,0]","[0,1,0,1]",0.09090909090909091,0.18181818181818182,0.7272727272727273
189,"[-1,0,-1,0]","[0,1,1,-1]",0.4,0.2,0.4
190,"[-1,0,-1,0]","[0,1,1,0]",0.36363636363636365,0.0,0.6363636363636364
191,"[-1,0,-1,0]","[1,-1,0,-1]",0.3333333333333333,0.16666666666666666,0.5
192,"[-1,0,-1,0]","[1,-1,0,0]",0.0,0.0,1.0
193,"[-1,0,-1,0]","[1,-1,1,0]",0.5,0.08333333333333333,0.4166666666666667
194,"[-1,0,-1,0]","[1,0,-1,0]",0.08333333333333333,0.4166666666666667,0.5
195,"[-1,0,-1,0]","[1,0,0,-1]",0.6363636363636364,0.0,0.36363636363636365
196,"[-1,0,-1,0]","[1,1,-1,0]",0.16666666666666666,0.6666666666666666,0.16666666666666666
197,"[-1,0,-1,1]","[-1,-1,0,0]",0.5,0.0,0.5
198,"[-1,0,-1,1]","[-1,-1,0,1]",0.0,0.3,0.7
199,"[-1,0,-1,1]","[-1,-1,1,0]",0.08333333333333333,0.0,0.9166666666666666
200,"[-1,0,-1,1]","[-1,0,-1,0]",0.07692307692307693,0.6153846153846154,0.3076923076923077
201,"[-1,0,-1,1]","[-1,0,1,-1]",0.5454545454545454,0.0,0.45454545454545453
202,"[-1,0,-1,1]","[-1,0,1,0]",0.2,0.0,0.8
203,"[-1,0,-1,1]","[-1,0,1,1]",0.09090909090909091,0.0,0.9090909090909091
204,"[-1,0,-1,1]","[-1,1,-1,0]",0.1,0.9,0.0
205,"[-1,0,-1,1]","[-1,1,0,0]",0.3333333333333333,0.08333333333333333,0.5833333333333334
206,"[-1,0,-1,1]","[-1,1,0,1]",0.3,0.0,0.7
207,"[-1,0,-1,1]","[0,-1,0,1]",0.0,0.0,1.0
208,"[-1,0,-1,1]","[0,-1,1,0]",0.08333333333333333,0.0,0.9166666666666666
209,"[-1,0,-1,1]","[0,-1,1,1]",0.0,0.09090909090909091,0.9090909090909091
210,"[-1,0,-1,1]","[0,0,-1,1]",0.1,0.6,0.3
211,"[-1,0,-1,1]","[0,0,1,-1]",0.8333333333333334,0.08333333333333333,0.08333333333333333
212,"[-1,0,-1,1]","[0,0,1,1]",0.09090909090909091,0.09090909090909091,0.8181818181818182
213,"[-1,0,-1,1]","[0,1,1,-1]",0.6,0.0,0.4
214,"[-1,0,-1,1]","[0,1,1,1]",0.0,0.09090909090909091,0.9090909090909091
215,"[-1,0,-1,1]","[1,-1,0,-1]",0.6,0.1,0.3
216,"[-1,0,-1,1]","[1,-1,0,0]",0.3,0.0,0.7
217,"[-1,0,-1,1]","[1,-1,1,0]",0.18181818181818182,0.0,0.8181818181818182
218,"[-1,0,-1,1]","[1,0,-1,1]",0.14285714285714285,0.7857142857142857,0.07142857142857142
219,"[-1,0,-1,1]","[1,0,1,-1]",0.75,0.0,0.25
220,"[-1,0,-1,1]","[1,0,1,0]",0.09090909090909091,0.0,0.9090909090909091
221,"[-1,0,-1,1]","[1,0,1,1]",0.0,0.3,0.7
222,"[-1,0,-1,1]","[1,1,-1,0]",0.18181818181818182,0.45454545454545453,0.36363636363636365
223,"[-1,0,-1,1]","[1,1,0,0]",0.0,0.0,1.0
224,"[-1,0,-1,1]","[1,1,0,1]",0.18181818181818182,0.18181818181818182,0.6363636363636364
225,"[-1,0,0,-1]","[-1,-1,-1,0]",0.3,0.1,0.6
226,"[-1,0,0,-1]","[-1,-1,0,0]",0.36363636363636365,0.09090909090909091,0.5454545454545454
227,"[-1,0,0,-1]","[-1,0,-1,1]",0.6666666666666666,0.0,0.3333333333333333
