,efforts_tuples,selected0,selected1,count,count_normalized,selected_motions,alpha_0_1,alpha_1_0,alpha_0_2,alpha_2_0,alpha_1_2,alpha_2_1,direct_comparison_value,most_preferred_pair
457,"[(-1, 0, 0, -1), (1, 1, 0, 1)]",1,2,8,0.8,1_2,0.0,-0.7000000000000001,0.0,-0.7000000000000001,0.7000000000000001,0.7000000000000001,0.1,"(1, 2)"
458,"[(-1, 0, 0, -1), (1, 1, 1, 0)]",1,2,5,0.5,1_2,0.09999999999999998,-0.2,-0.09999999999999998,-0.3,0.2,0.3,0.2,"(1, 2)"
459,"[(-1, 0, 0, 1), (-1, 0, 1, -1)]",0,1,9,0.5625,0_1,0.4375,0.25,-0.4375,-0.1875,-0.25,0.1875,0.125,"(0, 1)"
460,"[(-1, 0, 0, 1), (-1, 0, 1, 0)]",0,1,6,0.545454545454545,0_1,0.4545454545454541,0.181818181818181,-0.4545454545454541,-0.2727272727272731,-0.181818181818181,0.2727272727272731,0.0909090909090909,"(0, 1)"
461,"[(-1, 0, 0, 1), (-1, 0, 1, 1)]",0,1,8,0.8,0_1,0.8,0.6000000000000001,-0.8,-0.2,-0.6000000000000001,0.2,0.0,"(0, 1)"
462,"[(-1, 0, 0, 1), (-1, 1, -1, 0)]",0,1,14,0.823529411764706,0_1,0.705882352941177,0.7647058823529412,-0.705882352941177,0.058823529411764296,-0.7647058823529412,-0.058823529411764296,0.117647058823529,"(0, 1)"
463,"[(-1, 0, 0, 1), (-1, 1, 0, -1)]",0,1,9,0.9,0_1,0.8,0.9,-0.8,0.1,-0.9,-0.1,0.1,"(0, 1)"
464,"[(-1, 0, 0, 1), (-1, 1, 0, 0)]",1,2,5,0.5,1_2,0.30000000000000004,-0.09999999999999998,-0.30000000000000004,-0.4,0.09999999999999998,0.4,0.1,"(1, 2)"
465,"[(-1, 0, 0, 1), (-1, 1, 0, 1)]",0,1,8,0.727272727272727,0_1,0.545454545454545,0.636363636363636,-0.545454545454545,0.09090909090909109,-0.636363636363636,-0.09090909090909109,0.181818181818182,"(0, 1)"
466,"[(-1, 0, 0, 1), (-1, 1, 1, 0)]",0,1,8,0.8,0_1,0.8,0.6000000000000001,-0.8,-0.2,-0.6000000000000001,0.2,0.0,"(0, 1)"
